ID SOCIO;DNI;APELLIDO;NOMBRE;ULTIMO PAGO;FECHA INGRESO
40;214211112;BURREN;Elisabet;22/6/2022;22/6/2022
41;386121894;SCOTCHBOUROUGE;Aymer;22/6/2022;22/6/2022
42;373738411;BLEAKLEY;Josias;22/6/2022;22/6/2022
43;321401703;BENDITT;Abbey;22/6/2022;22/6/2022
44;443411441;ANTONOGNOLI;Carolina;22/6/2022;22/6/2022
45;265187974;CALLEJA;Jacquelynn;22/6/2022;22/6/2022
46;282980408;DULSON;Therine;22/6/2022;22/6/2022
47;295854228;OHLSEN;Janetta;22/6/2022;22/6/2022
48;548563539;ELLERMAN;Rhianna;22/6/2022;22/6/2022
49;587155454;READMIRE;Vanni;22/6/2022;22/6/2022
50;44916572;CRANMOR;Rhetta;22/6/2022;22/6/2022
51;574587108;SHOORBROOKE;Shae;22/6/2022;22/6/2022
52;204891866;BOWLLER;Roanne;22/6/2022;22/6/2022
53;228792949;MATTEUCCI;Jacinda;22/6/2022;22/6/2022
54;134987828;ROCKWELL;Nolie;22/6/2022;22/6/2022
55;129112323;RADELIFFE;Helli;22/6/2022;22/6/2022
56;12480219;RUPRECHT;Clarey;22/6/2022;22/6/2022
57;418432664;JEFFELS;Lem;22/6/2022;22/6/2022
58;302860023;FRISCH;Kacy;22/6/2022;22/6/2022
59;596974228;MELLISH;Sherwynd;22/6/2022;22/6/2022
60;465354293;PETROVIC;Dara;22/6/2022;22/6/2022
61;538112881;STUTHER;Chryste;22/6/2022;22/6/2022
62;425003154;EYCKELBERG;Sherill;22/6/2022;22/6/2022
63;130338158;FOWLS;Emmanuel;22/6/2022;22/6/2022
64;65792438;MALT;Shannen;22/6/2022;22/6/2022
65;95432240;LENAHAN;Roland;22/6/2022;22/6/2022
66;262564435;DUDMESH;Winthrop;22/6/2022;22/6/2022
67;452603290;TERTRE;Heda;22/6/2022;22/6/2022
68;306720888;WETHERALD;Ulrike;22/6/2022;22/6/2022
69;240246672;ENSLEY;Jude;22/6/2022;22/6/2022
70;573976561;SALTSBERGER;Gates;22/6/2022;22/6/2022
71;19957547;FELD;Keelia;22/6/2022;22/6/2022
72;505515338;COSTIGAN;Georgine;22/6/2022;22/6/2022
73;292150772;LEDINGTON;Julie;22/6/2022;22/6/2022
74;413507643;MOHUN;Jerrome;22/6/2022;22/6/2022
75;46680782;RIDGERS;Gabriella;22/6/2022;22/6/2022
76;297259942;MUFFIN;Emmalynne;22/6/2022;22/6/2022
77;184512526;KYNETT;Orly;22/6/2022;22/6/2022
78;347138746;CALABRY;Annissa;22/6/2022;22/6/2022
79;24150315;WHITLAM;Bendick;22/6/2022;22/6/2022
80;482614428;ISHCHENKO;Stanislaus;22/6/2022;22/6/2022
81;279962065;CLYMA;Cyb;22/6/2022;22/6/2022
82;381067462;BEEVORS;Richmound;22/6/2022;22/6/2022
83;194288465;KORDES;Maye;22/6/2022;22/6/2022
84;34551489;AMSBERGER;Eleonore;22/6/2022;22/6/2022
85;113946774;KOWALIK;Tiertza;22/6/2022;22/6/2022
86;431347973;DORCEY;Gail;22/6/2022;22/6/2022
87;179100052;MAGENNY;Mona;22/6/2022;22/6/2022
88;417526248;LORRIE;Dave;22/6/2022;22/6/2022
89;527798894;MATTHOLIE;Ileana;22/6/2022;22/6/2022
90;500847008;OXX;Lemmy;22/6/2022;22/6/2022
91;285387402;BUFFY;Trumaine;22/6/2022;22/6/2022
92;380445290;GRIER;Rosabella;22/6/2022;22/6/2022
93;282047613;GEDNEY;Prue;22/6/2022;22/6/2022
94;45933312;LANGWORTHY;Corrie;22/6/2022;22/6/2022
95;27532109;TROUBRIDGE;Harmony;22/6/2022;22/6/2022
96;470993244;IRELAND;Leshia;22/6/2022;22/6/2022
97;61584675;MOOHAN;Federica;22/6/2022;22/6/2022
98;108208540;ALEKSEICIK;Catriona;22/6/2022;22/6/2022
99;288927641;PHILPIN;Ferne;22/6/2022;22/6/2022
100;308244750;THOWLESS;Lorianna;22/6/2022;22/6/2022
